id paper,doi,approches,approche simplifié,main method,other method,Application,score,times cited,weighted score,results,year,title,abstract,associated main word,Quartile,journal or conference,Publication type,Data used,keywords,keywords_plus,etat,commentaires
77,10.5194/isprs-archives-XLVIII-4-W6-2022-391-2023,based on spectral indices,based on spectral indices,"AMMI, SWIRB, MVI, OSCMI",,mangrove mapping,0.311,10,,,2023,ASSESSMENT OF MANGROVE EXTENT EXTRACTION ACCURACY OF THRESHOLD SEGMENTATION-BASED INDICES USING SENTINEL IMAGERY,"Mangroves have been protecting coastlines, nourishing wildlife, and capturing carbon for climate regulation. The decline of mangroves calls for action to rapidly and accurately monitor them. Remote Sensing makes it possible to remotely monitor mangroves from images captured from space. Sentinel-1 and Sentinel-2 are examples of remote sensing satellites and there is extensive research on their land cover mapping capabilities, including mangrove mapping. While machine learning is a popular methodology for mangrove mapping (e.g., the use of Random Forest) there exist simpler techniques, i.e., utilizing threshold segmentation-based indices that only use a formula and a specific threshold to extract mangrove extents from satellite imagery (mostly Sentinel imagery). This study compared the products and the accuracy of different threshold segmentation-based mangrove mapping indices in four study areas in the Philippines and one in Indonesia. Results showed that the Mangrove Vegetation Index (MVI), Automatic Mangrove Map and Index (AMMI), and the Optical and SAR images Combined Mangrove Index (OSCMI) subindex SWIRB (full name of this subindex here) were the superior indices with overall accuracies (OA) greater than 80% in all study areas and reaching a maximum of 90%, 91% and 96%, respectively. By McNemar's test showed that their results have insignificant differences. MVI, SWIRB, and AMMI only used Sentinel-2 optical imagery, which means the addition of Sentinel-1 SAR imagery was unnecessary. Since the validation data is a product of machine-learning classification, this shows that using threshold segmentation-based indices is promising as it is simpler, faster, and requires little skill compared to using classification techniques.",mangrove index,néant,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",conference,"Sentinel-1, Sentinel-2",Mangrove index; Sentinel-2; Sentinel-1; Google Earth Engine; Mangrove Extent,COMPONENTS; FOREST,non lu,
113,10.1371/journal.pone.0315181,based on spectral indices,based on spectral indices,CMRI,,mangrove mapping,0.803,5,,,2024,An assessment of mangrove forest in northwestern Mexico using the Google Earth Engine cloud computing platform,"Mangrove forests are commonly mapped using spaceborne remote sensing data due to the challenges of field endeavors in such harsh environments. However, these methods usually require a substantial level of manual processing for each image. Hence, conservation practitioners prioritize using cloud computing platforms to obtain accurate canopy classifications of large extensions of mangrove forests. The objective of this study was to analyze the spatial distribution and rate of change (area gain and loss) of the red mangrove (Rhizophora mangle) and other dominant mangrove species, mainly Avicennia germinans and Laguncularia racemosa, between 2015 and 2020 throughout the northwestern coast of Mexico. Bimonthly data of the Combined Mangrove Recognition Index (CMRI) from all available Sentinel-2 data were processed with the Google Earth Engine cloud computing platform. The results indicated an extension of 42865 ha of red mangrove and 139602 ha of other dominant mangrove species in the Gulf of California and the Pacific northwestern coast of Mexico for 2020. The mangrove extension experienced a notable decline of 1817 ha from 2015 to 2020, largely attributed to the expansion of aquaculture ponds and the destructive effects of hurricanes. Considering the two mangrove classes, the overall classification accuracies were 90% and 92% for the 2015 and 2020 maps, respectively. The advantages of the method compared to supervised classifications and traditional vegetation indices are discussed, as are the disadvantages concerning the spatial resolution and the minimum detection area. The work is a national effort to assist in decision-making to prioritize resource allocations for blue carbon, rehabilitation, and climate change mitigation programs.",mangrove forests,Q1,PLOS ONE,journal,Sentinel-2,,INDEX; FIELD,non lu,
735,10.3389/fmars.2023.1243116,based on spectral indices,based on spectral indices,EMSI,,mangrove mapping,0.931,6,,,2023,Mangrove forest mapping from object-oriented multi-feature ensemble classification using Sentinel-2 images,"Accurate mapping of mangrove forests is crucial for understanding their ecosystem function and developing effective management policies. However, the absence of an operational multi-feature fusion approach and an ensemble classification system restricts the achievement of this goal. This study aims to develop an object-oriented multi-feature ensemble classification scheme (OMEC). First, an enhanced mangrove spectral index (EMSI) is established by analyzing the spectral reflectance differences between mangrove forests and other land cover types. Sentinel-2 images are segmented into objects using the multi-resolution segmentation method. Then, spectral, textural, and geometric features are extracted, and these features (including EMSI) are inputted into the nearest neighbor classifier to implement mangrove classification. The experiment was conducted in three typical mangrove areas in China using Sentinle-2 images. The results demonstrate that EMSI exhibits good spectral separability for mangroves and performs well in the ensemble classification scheme. The overall accuracy of mangrove classification exceeds 90%, with a Kappa coefficient greater than 0.88. The object-oriented multi-feature ensemble classification scheme significantly improves accuracy and exhibits excellent performance. The method enhances the accuracy of mangrove classification, enriches the approach to mangrove remote sensing interpretation, and offers data support and scientific references for the restoration, management, and protection of coastal wetlands.",an enhanced mangrove spectral index,Q1,Frontiers,journal,Sentinel-2,Sentinel-2 images; an enhanced mangrove spectral index; multi-features; object-oriented segmentation; spectral reflectance signature,INDEX; CONSERVATION; CHINA,non lu,
22,10.3390/f14061145,based on spectral indices,based on spectral indices,"IMII,IMI",,mangrove mapping,0.600,3,,,2023,A Study on Spatial Distribution Extraction of Tidal Inundated Mangroves Based on High and Low Tide Level Images,"A majority of mangroves are located in the coastal intertidal zone and are subject to tidal periodic inundation. However, the previous vegetation indices used for extracting the spatial distribution of mangroves were not able to effectively extract submerged mangroves, and the applicability of the vegetation indices used on different spatial resolution images obtained from different sensors was not verified. In this study, a new vegetation index, namely the intertidal mangrove identification indices (IMIIs), was proposed, based on GF-2 images of high and low tide levels. Meanwhile, other commonly used vegetation indices were also extracted. All the vegetation indices were used to extract the spatial distribution of mangroves under tidal inundation, and applicability tests of the vegetation indices were conducted on Sentinel-2 images in three different regions. It was found that the IMIIs proposed based on GF-2 images of high and low tide levels can extract submerged mangroves relatively well, and the spatial distribution extraction results of mangroves are better than those of other vegetation indices, with IMII2 outperforming IMII1. At the same time, IMIIs have good applicability in medium resolution Sentinel-2 images, and there are relatively large differences in the extraction results of mangrove spatial distribution among different vegetation indices in areas with significant impact of tidal inundation. Among all vegetation indices, the extraction results of IMIIs are relatively superior. In most cases, multi variables collaborative application can improve the accuracy of mangrove spatial distribution extraction results. Based on the results of this study, it was concluded that the IMIIs proposed in this study can accurately extract the spatial distribution of mangroves inundated by tides from both medium- and high-resolution images, providing accurate basic data for effective management and scientific protection of mangrove resources.",mangrove extraction,Q1,MDPI (Forests),journal,"Sentinel-2, Gaofen-2",mangrove extraction; vegetation indexes; Gaofen-2 images; intertidal mangrove identification index; Sentinel-2 images,FORESTS; INDEX; DISCRIMINATION; ECOSYSTEMS; SATELLITE,non lu,mangrove mapping based on tidal inundation images
1058,10.3389/ffgc.2025.1648754,based on spectral indices,based on spectral indices,MVI,,mangrove mapping,0.905,0,,,2025,Shields of the shore: mangrove ecosystem shifts and climate vulnerability in Mozambique,"Introduction Due to its vulnerability to climate-driven floods and storms, Mozambique faces significant challenges in coastal planning due to limited reliable data. In this context, studying mangrove cover and dynamics could provide valuable insights to enhance coastal area management.Methods This study introduces an innovative framework that assesses mangrove extent and coastal vulnerability by integrating the Mangrove Vegetation Index (MVI) with the InVEST Coastal Vulnerability model to accurately identify areas of highest priority for intervention. Using MVI applied to Landsat-8 (30 m) and Sentinel-2 (2023, resampled from 10 m to 30 m) imagery, we mapped mangrove cover for 2013 and 2023, refining accuracy by excluding pixels beyond 1.2 km inland and above 10 m elevation. A cloud-based workflow leveraging Google Earth Engine and QGIS enabled scalable, efficient analysis.Results The mangrove area declined from 2,116 km2 in 2013 to 1,739 km2 in 2023-a 18% loss, equivalent to 1.8% annually. The results of the Coastal Vulnerability Model, applied to the entire coast of Mozambique, produced an Exposure Index (EI) for flooding and erosion events. Each point along the coast was classified with values from 1 to 5 at a distance of 100 m from each other: the highest values indicating greater exposure. It emerged that 16.2% of the 11,768.11 km of coastline were classified with an EI as 'Very Low', 42% as 'Low', 32% as 'Intermediate', 9.4% as 'High' and 0.1% as 'Very High'. Considering the points classified with a 'High' and 'Very High' EI, approximately 1,117.97 km of coastline is highly vulnerable and in need of intervention. Analysis of the impact of Cyclone Idai (2018-2019) on the P & uacute;ngu & egrave; and Buzi River delta revealed a 69% reduction in mangrove cover, from 76 km2 to 23 km2.Discussion These findings underscore the urgent need for targeted interventions, prioritizing Sofala and Zambezia for mangrove restoration and nature-based solutions to bolster coastal resilience. This scalable approach advances global mangrove monitoring and supports data-driven coastal management in climate-vulnerable regions.",mangrove cover change,Q1,Frontiers in Forests and Global Change,journal,"Sentinel-2, Landsat",mangrove cover change; coastal vulnerability; cyclone impact; remote sensing; InVEST model,FORESTS; DECISION; PROTECTION; TSUNAMI; WORLD,non lu,
567,10.1016/j.rse.2021.112584,based on spectral indices,based on spectral indices,NDVI,,mangrove mapping,3.972,86,,,2021,How to automate timely large-scale mangrove mapping with remote sensing,"Mangrove forests have witnessed significant changes resulted from both anthropogenic and natural disturbances in the last four decades. Although a few attempts have been reported, effective methods that can repeatedly generate large-scale mangrove maps on a timely basis are still lacking due to the difficulty in gathering sufficient training samples in large geographical areas. In this study, we have addressed three objectives in the following manner: (1) we aim to develop a method to automatically collect ample mangrove training samples; Corre-spondingly, we developed an automatic training sample collection method which extracted unchanged mangrove samples from a historical mangrove map; In addition, we employed a region growing method to include more diversified training samples; (2) we strive to foster compatible classifiers that can leverage the collected one-class training samples; To this end, we came up with two representative one-class classifiers: the Support Vector Data Description (SVDD), and the Positive and Unlabeled Learning algorithm (PUL); (3) we endeavor to compare the effectiveness of various combinations of training samples, classifiers, and input images; As a result, we developed 32 classification models by varying four different variables: training samples (unchanged vs. expanded), input data (Landsat 8, Sentinel-1, and Sentinel-2), classifiers (SVDD vs. PUL), and study sites (Florida, the United States and Guangxi, China). We found that our developed automatic training sample collection methods performed well (user's accuracy >97%). Inter-annual NDVI combined with geometric restrictions warranted the effective extraction of unchanged training samples while the region growing method further reduced the omission due to its addition of recently emerged mangroves. In addition, PUL performed better than SVDD. This is attributed to the fact that PUL draws upon not only mangrove samples, but also unlabeled ones unaccounted for in SVDD. Lastly, the combination of Sentinel-1 and Sentinel-2 is recommended among all the compared models. In sum-mary, we developed an effective method to automatically extract mangrove training samples, based on which a one-class classification method for large-scale mangrove mapping is made possible. We envision our methods will contribute to a wide spectrum of timely large-scale mangrove mapping tasks.",mangrove mapping,Q1,Elsevier (Remote Sensing of Environment),journal,"Sentinel-1, Sentinel-2, Landsat",Large-scale mapping; Mangrove forests; Training sample collection; One-class classification; Region growing; Remote sensing; Landsat; Sentinel; Google Earth Engine,ONE-CLASS CLASSIFICATION; DIFFERENCE WATER INDEX; FORESTS; COVER; CHINA; ENHANCE; BIOMASS; WORLDS; NDWI; MAP,non lu,
541,10.3390/rs15082050,based on spectral indices,based on spectral indices,NDVI,,mangrove mapping,1.019,26,,,2023,Global Mangrove Watch: Monthly Alerts of Mangrove Loss for Africa,"Current mangrove mapping efforts, such as the Global Mangrove Watch (GMW), have focused on providing one-off or annual maps of mangrove forests, while such maps may be most useful for reporting regional, national and sub-national extent of mangrove forests, they may be of more limited use for the day-to-day management of mangroves and for supporting the Global Mangrove Alliance (GMA) goal of halting global mangrove loss. To this end, a prototype change mangrove loss alert system has been developed to identify mangrove losses on a monthly basis. Implemented on the Microsoft Planetary Computer, the Global Mangrove Watch v3.0 mangrove baseline extent map for 2018 was refined and used to define the mangrove extent mask under which potential losses would be identified. The study period was from 2018 to 2022 due to the availability of Sentinel-2 imagery used for the study. The mangrove loss alert system is based on optimised normalised difference vegetation index (NDVI) thresholds used to identify mangrove losses and a temporal scoring system to filter false positives. The mangrove loss alert system was found to have an estimated overall accuracy of 92.1%, with the alert commission and omission estimated to be 10.4% and 20.6%, respectively. Africa was selected for the mangrove loss alert system prototype, where significant losses were identified in the study period, with 90% of the mangrove loss alerts identified in Nigeria, Guinea-Bissau, Madagascar, Mozambique and Guinea. The primary drivers of these losses ranged from economic activities that dominated West Africa and Northern East Africa (mainly agricultural conversion and infrastructure development) to climatic in Southern East Africa (primarily storm frequency and intensity). The production of the monthly mangrove loss alerts for Africa will be continued as part of the wider Global Mangrove Watch project, and the spatial coverage is expected to be expanded to other regions over the coming months and years. The mangrove loss alerts will be published on the Global Mangrove Watch online portal and updated monthly.",change detection,Q1,MDPI (Remote Sensing),journal,Sentinel-2,mangroves; deforestation; mangrove loss; global mangrove watch; change detection; near real time; mangrove loss alerts; early warning; Sentinel-2; Africa,FORESTS; CLASSIFICATION; EROSION,non lu,
455,10.1016/j.rsma.2021.102054,based on spectral indices,based on spectral indices,NDVI,,mangrove change detection,0.600,21,,,2021,"Estimation of extent of the mangrove defoliation caused by insect Hyblaea puera (Cramer, 1777) around Dharamtar creek, India using Sentinel 2 images","Mangroves have been continuously affected due to human-induced and natural stresses. Therefore, reliable, accurate, and timely mangrove information is essential for conservation, protection, and sustainable management. Recent advances in remote sensing technology have provided an opportunity to observe and monitor mangroves spatially and temporally. Remote sensing technology could detect and acquire information like mangrove extent, cover change, species composition, canopy density, mangrove biomass, and carbon sequestration. In this study, European satellite Sentinel-2 data was used to map the defoliation of mangroves of Dharamtar creek, India, caused by the insect 'teak defoliator' (Hyblaea puera). Defoliation from the study area was recorded from August 2019 to October 2019. Mangrove plant Avicennia marina is the most dominant species distributed across the forest, and it was the only species observed to be infested. The total area of mangroves of Dharamtar creek was estimated to be 8175.5 ha. Out of the total mangrove area, high defoliated, moderately defoliated, low defoliated and very low defoliated and un-defoliated mangrove areas were estimated as 6.6%, 9.9%, 8.3%, 50.17% and 25.0%, respectively. The infestation was affected more than 6,000 hectares of mangroves. Unhealthy and stressed mangroves due to defoliation caused by the infestation of H. puera were detected using NDVI in the study area. The details regarding the moth, infestation of mangroves, its causes, impacts and other related information was discussed. We recommend further studies to investigate the causes of outbreaks, preference of this insect to this particular species of mangroves over other species and other implications of defoliation. (C) 2021 Published by Elsevier B.V.",mangrove,Q1,Elsevier (Regional Studies in Marine Science),journal,Sentinel-2,Mangrove; Defoliator; Moth; Remote sensing,GROWING STOCK VOLUME; SESARMID CRABS; FOREST; DYNAMICS; HERBIVORY; MODEL; COAST,non lu,
845,10.1016/j.indic.2025.100705,based on spectral indices,based on spectral indices,NDVI,,mangrove mapping and monitoring,1.286,2,,,2025,Monitoring mangrove dynamics and evaluating future afforestation potential in the Egyptian Red Sea,"Mangrove forests are vital for ecosystem services and coastal management but face stressors from anthropogenic activities and climate change. This study estimates the extent and afforestation potential of mangroves along the Egyptian Red Sea coast from 1984 to 2022 using NDVI derived from Landsat-5 and Sentinel-2 data in Google Earth Engine. Aboveground biomass (AGB), belowground biomass (BGB), carbon (C) stock, and CO2 sequestration potential were evaluated using Sentinel-2 and elevation data. Future afforestation suitability (2020-2050) under SSP2-4.5 and SSP5-8.5 scenarios was assessed with the MaxEnt model. Mangrove area increased from 0.95 km2 in 1984 to 1.46 km2 in 2022, with Landsat-5 classification accuracy between 89 and 94 % and Sentinel-2 at 92-96 %. Mean AGB and BGB were 63.48 Mg/ha and 18.41 Mg/ha, while mean C stock and CO2 sequestration were 40.94 Mg/ha and 150.25 Mg/ha, respectively, below global averages. Under SSP2-4.5, 18.60 km2 and 21.40 km2 were identified as highly and moderately suitable for afforestation, decreasing to 12.34 km2 and 12.50 km2 under SSP5-8.5. Under the SSP2-4.5 scenario, high-suitability areas for mangroves would be predominantly located along the northern coast, with fewer areas identified along the southern coast. Under the SSP5-8.5 scenario, high-suitability areas are expected to shift and concentrate only in the northern regions. Significant predictors under SSP2-4.5 included sea water velocity, bathymetry, and air temperature, while SSP5-8.5 highlighted bathymetry, sea surface temperature, and salinity. This study provides insights into mangrove dynamics, biomass potential, and afforestation opportunities, offering critical guidance for conservation and restoration strategies.",monitoring mangrove,Q1,Environmental and Sustainability Indicators,journal,Sentinel-2,Carbon stock; Mangroves; MaxEnt model; NDVI; Species distribution,CARBON STOCKS; ABOVEGROUND BIOMASS; FORESTS; HEIGHT; GULF; TEMPERATURE; INDEXES,non lu,
130,10.1016/j.rsma.2025.104322,based on spectral indices,based on spectral indices,NDVI,,mangrove mapping,0.600,0,,,2025,"Annual assessment of mangrove defoliation by Hyblaea puera (Cramer, 1777) around Thane Creek, India using field observations and Sentinel-2 imagery from 2018 to 2022","Mangroves are salt-tolerant trees thriving in coastal and brackish waters, adapting to harsh conditions with features like aerial roots and salt filtering. Out of 64 global mangrove species, 11 are endangered. In Maharashtra, mangroves are concentrated around Mumbai, with an estimated 54.5 square kilometers in Thane Creek, where Avicennia marina shows signs of infestation. This current research used Sentinel-2 data from 2018 to 2022 to assess defoliation caused by Hyblaea puera, the teak defoliator. Ground-truth observations from 2020 to 2022 confirmed the extent of defoliation and identified varying infestation levels categorized as very highly infested, highly infested, moderately infested, low infested, very low infested, and uninfested. NDVI analysis examined these levels in relation to meteorological factors such as rainfall, temperature, humidity, and wind speed. The analysis revealed an extended peak infestation both spatially and temporally, along with severe defoliation during the study period. Six categorical infestation hotspots were identified and compared with meteorological parameters, revealing that Hyblaea outbreaks were more common during low wind speeds and moderate temperatures, with peak infestations occurring after heavy rainfall and under moderate relative humidity. The study suggests further research to explore outbreak causes, insect preferences for specific mangrove species, and the broader implications of defoliation.",forests,Q1,Elsevier (Regional Studies in Marine Science),journal,Sentinel-2,Infestation; Avicennia marina; NDVI; Carbon Sequestration; And Remote Sensing,ECOSYSTEM; FORESTS; HERBIVORY; VALUATION; SERVICE; REGION; WORLD; STATE,non lu,
